pathway	external_id	source	entrez_gene_ids
Ribosome biogenesis in eukaryotes - Mus musculus (mouse)	path:mmu03008	KEGG	100862468,73736,217109,237082,100044829,68272,16418,67619,100045148,74778,237107,434234,102462,24127,24128,225348,53319,195434,100047957,54364,108143,66161,69237,245610,66181,98956,230082,100045968,59028,103573,66711,633406,30877,269470,237730,56488,71340,100045999,14000,67724,100019,55989,227522,12995,13000,13001,75471,102614,101592,110816,245474,21771,213773,14113,52530,68147,17724,17725,545600,72515,69961,170722,230737,97112,27993,20826,224092,72554,74097,66932,117109,67134,67459,67973,213895,217995,216987,105372,19384,14791,73674,21453,57815,19428,67045,208366,104444,83454
Natural killer cell mediated cytotoxicity - Mus musculus (mouse)	path:mmu04650	KEGG	16640,74769,22035,15894,15896,17059,16414,16415,18479,11836,404549,110157,12367,216148,15962,14939,15964,15965,15967,15968,15969,18018,18019,15972,15461,15974,15975,15976,15977,15978,15979,15980,22637,19055,19056,19057,19058,19059,14964,14972,14784,14102,16408,14360,22177,234779,12981,20662,20663,18106,16061,17086,15040,320207,18646,12503,12506,56554,30955,16627,16634,16635,15101,16638,16639,18176,16641,16642,16643,170758,16653,18706,18707,18708,18709,18710,14103,26904,26395,26396,19229,26413,19247,26417,22324,22325,109880,18750,18751,18752,14127,15170,242517,242519,12122,23900,18803,15970,27007,19353,19354,16797,21926,19368,19369,19370,21933,20400,16818,16822,20416,20418,24055,77777,379043,20963,271849,246256,57257,230396
Osteoclast differentiation - Mus musculus (mouse)	path:mmu04380	KEGG	16391,22030,74256,74769,22034,12311,14360,16416,12326,68652,12978,17969,17970,17972,14389,16451,19016,53859,16476,16477,16478,18018,18019,15975,15976,15977,15978,15979,15980,19055,19056,18033,18034,18035,18710,19094,668101,29857,234779,17060,19057,11433,19058,12977,21682,19059,12912,26415,320207,26416,224480,18727,12675,13038,19697,19698,23797,26409,751864,13057,13058,26413,18706,18707,18708,18709,16150,16151,26395,26399,26400,16176,18722,100038947,18726,16177,18729,21803,18733,26414,16175,21808,26417,14130,26419,21812,21813,26420,19261,320832,232790,30955,232801,20846,20847,14200,14129,11651,11652,20375,19353,12702,12703,21926,21934,21937,16818,16822,21943,14131,17342,14784,54721,12229,22177,14281,14282,14283,14284,18383,66513,20963,83433,18412,237038,246256
Hematopoietic cell lineage - Mus musculus (mouse)	path:mmu04640	KEGG	22018,16398,16399,16400,100861969,16402,16403,16409,22042,13856,13857,333883,54368,12902,16401,14969,12494,109700,21673,12977,12978,12981,12982,12985,12986,12475,16061,12478,12479,12480,12481,12482,12483,12484,12489,12490,12491,12493,16590,12500,12501,12502,12504,12505,12507,12509,12516,12525,12526,12527,16156,16157,16158,14128,16177,16175,16176,14129,16178,16184,233274,100042555,16188,16189,16190,16191,16192,16193,16194,16196,16197,16199,21832,13136,13137,16187,14723,14724,14729,16790,17311,21926,14255,14256,16416,17380,100038993
Basal transcription factors - Mus musculus (mouse)	path:mmu03022	KEGG	98053,226182,24074,24075,17420,229906,71828,227606,237336,102162,66671,12572,66464,270627,14884,14885,14886,70439,68776,13871,13872,72504,68153,545600,235459,619332,68705,319944,209357,99730,209361,66467,74197,23894,21343,99169,74469,100046289,407786,225895,83602,108143,63856,228980,57080,21374
Circadian rhythm - Mus musculus (mouse)	path:mmu04710	KEGG	793,621,907,919,082,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Circadian entrainment - Mus musculus (mouse)	path:mmu04713	KEGG	12288,12289,12291,66066,12313,100048410,12315,239134,12322,12323,12325,494124,16438,16440,70729,12912,210044,14699,16519,18796,16522,16524,17773,12314,19091,19092,18798,14701,108058,100503710,19108,58226,104110,104111,60596,18626,18627,18628,18125,20190,20191,20192,100043507,11512,11513,11514,11515,11517,70405,271639,26413,14813,26417,16521,18747,18749,18750,18751,18752,64337,14677,14678,14679,14681,14682,14683,14688,14693,14695,14696,14697,18795,14700,18797,14702,14704,14706,14707,14708,14709,14710,53623,73086,224129,234889,432530,80796,54195,239556,14281,14799,14800,14802,19416,14810,14811,14812,244701,14814
RIG-I-like receptor signaling pathway - Mus musculus (mouse)	path:mmu04622	KEGG	270151,14082,12675,230405,23988,26409,22030,22031,74256,11793,22034,26900,13205,16150,16151,26415,16159,56480,26401,71586,54644,110957,21926,18033,56489,19697,26414,15965,26416,18035,26420,387510,26419,230073,72512,16160,19766,404549,67526,29857,15945,100038882,27215,67664,66641,12370,242517,73174,242519,15962,15964,80861,15967,15968,15969,15970,15972,15974,21353,54123,217069,19094,71609,54131,18036,15977,225913,230396,228607
HIF-1 signaling pathway - Mus musculus (mouse)	path:mmu04066	KEGG	15368,74769,22041,108058,433182,13856,12322,12323,12325,13866,20525,212032,71745,11863,67673,667739,14433,17000,15978,15979,58988,101056616,12914,56438,112405,16000,16001,18710,20104,15980,18639,218268,22042,234779,18597,18598,18033,21687,228026,18126,320207,18640,18641,18127,18655,224480,30955,19697,23797,13058,12043,170768,18706,18707,18708,18709,112406,112407,26395,26396,12575,12576,100042025,26413,13614,26417,72508,18750,18751,18752,16193,16194,22339,22346,13645,11600,11601,11602,67923,21857,18787,26987,20848,18803,13684,13685,270198,328572,11651,11652,21898,56717,15251,13806,100043674,11674,15275,15277,14254,16828,100048117,17346,17347,16333,16334,16337,216019,13649,68263,237038,13807,13808,230899
Base excision repair - Mus musculus (mouse)	path:mmu03410	KEGG	###############################################################################################################################################################################################################################################################
Chemokine signaling pathway - Mus musculus (mouse)	path:mmu04062	KEGG	14696,57349,56838,20311,621580,74769,66066,14083,56637,100861978,104111,18798,80901,16428,93742,18479,17969,66102,16963,16452,16453,11848,15945,20663,110157,216148,14699,15461,19303,18033,100862578,18035,18036,109689,541307,210044,12927,12928,14784,271849,16150,18796,18797,20310,14702,14191,100048410,100503710,100040048,19108,12458,104110,100504239,55985,14707,20662,100039863,606496,14704,17096,320207,100503254,11515,18795,100862177,30955,12675,109905,19697,100043507,23797,11512,11513,11514,13051,12540,100042493,18176,277360,56066,100039939,12929,16653,26385,18706,18707,18708,18709,18710,16151,23832,100504346,26395,19229,100041504,140580,216869,100862247,100504362,20779,26413,26417,22324,22325,109880,15162,18747,18749,18751,94176,20290,20292,20293,20295,20296,20297,18762,20299,20300,20301,20302,18829,20304,20305,20306,20307,20308,20309,14678,14679,20312,20315,64337,14688,14693,14695,22376,14697,100041579,14700,14701,20846,20847,20848,12145,14706,20851,14708,14709,14710,12777,100041593,224129,11651,11652,18753,330122,100039053,666513,432530,215449,19353,19354,56221,67653,65956,19877,19878,56744,57257,17329,57266,14772,14773,110355,20416,20418,19395,24013,227288,56484,73178,20303,12765,12766,12767,12768,12769,12770,12771,12772,12773,12774,12775,12776,14825,24047,21844,14677
Progesterone-mediated oocyte maturation - Mus musculus (mouse)	path:mmu04914	KEGG	56150,74769,17451,56371,70891,110651,11836,12877,100045924,66156,101056634,210044,16000,16001,268930,12566,12427,12428,20111,20112,19094,12442,15516,15519,29857,19108,104110,104111,209091,320207,71890,17120,30955,12530,12531,12532,23797,12534,11512,11513,11514,11515,59008,18817,16653,18706,18707,18708,18709,18710,26395,26413,26414,26415,26416,26417,26419,26420,109880,18747,18749,69957,17222,99152,52563,14677,14678,14679,18576,217232,69010,224129,11651,11652,68999,66440,432530,268697,74673,12235,16333,16334,110157,18667,52206,54611,67071,56317,434175
