id	day1	day2	day3
LINC00261	-5.485035819	-5.493144854	-5.767517251
NTN4	-3.945923068	3.290895319	-5.999710893
AKR1B10	-4.152680449	-7.374389244	-7.567572903
ANXA8	-3.779532408	-5.688289384	1.941692199
CD24	-1.828299254	2.66228049	-5.774638164
UBTF	-2.760197811	-3.406334894	-7.354321443
TPM1	-2.967631536	-2.749768553	-5.131494826
VAT1L	7.450868026	7.84812721	0.870607885
ULBP1	5.168519382	-2.368340728	-5.129171926
RRM2	-4.337196459	2.578024906	8.239932123
CCL2	-4.895765563	-2.373377415	-3.284479769
SYT11	6.501576678	-3.724976154	2.970654636
MAP1B	3.215128327	-5.433118642	3.113014961
MYLK	-2.42693464	-5.187141266	5.636362062
TRIM22	-5.284873789	-3.214421964	-3.276716866
HSPB8	-2.49767178	-3.432228852	-2.751071361
KANK1	-3.001562195	3.276362615	-3.565882224
ATP9A	-2.606712976	8.025543156	-1.652982054
AC013275.1	-4.234901464	4.807980937	-4.645717604
ACOX3	-2.204911892	-4.211427534	-3.251485744
BAAT	-4.303840226	-5.192422714	2.415567562
DAB2	-3.059867226	-6.002330694	7.736647678
KIF5C	4.553052217	-2.423509375	-1.779466523
SLC1A4	2.501809308	-4.906238523	3.338568439
PSG4	-4.466755639	-5.795218294	3.412799829
PEG10	4.09176011	6.682871148	-5.082109744
ASNS	4.28873496	1.820908852	-3.259490689
CXCL6	-4.064557303	-2.025014589	-1.908343516
PRSS23	-2.937019096	2.97896369	-4.598532682
LOXL4	-2.289575025	-2.905148484	-2.23105897
ABCC2	-2.361109969	-5.861100782	-5.932095729
KIF1A	7.326981137	2.916973558	-2.771123389
NCF2	-3.43672556	-1.586692332	-1.931121342
FSTL1	-3.919234737	-2.841706765	-5.613305965
CD109	-2.806418702	-3.076613529	-1.92547841
CLDN1	-1.772556567	-2.997419848	4.055650822
CLDN2	-4.779015962	-3.74601511	-4.521745019
ENO2	4.081709877	-2.672780287	-6.41223983
PIGH	1.983591561	4.036760234	-2.294323197
NCAM1	6.537663139	-3.591047245	3.468545758
PCNX2	2.879060611	-4.300441991	-6.317057661
HK2	5.554888815	-2.320055107	-1.771134625
NNMT	-3.029384414	-2.870875024	-1.47179618
ROBO1	2.998295606	7.131326647	7.271557664
SRXN1	1.933851327	-5.497466972	4.73442312
TNFRSF9	3.486717945	-2.336192074	-2.753770596
CAP2	-2.93354091	-1.797129728	-5.989973773
RAB39B	8.328337982	2.167653194	-5.761450928
TFDP1	-1.379460035	-4.172507079	3.471409755
BEST1	3.347936894	-4.507679377	7.737215517
PEF1	-2.525750365	-4.067561973	3.276115254
HK1	3.294780121	3.391063146	1.909175952
SORT1	2.270162332	-4.910807081	-2.683873116
PDIA5	-2.045922109	2.279718508	2.901414801
NSD1	-1.879550883	3.577896834	-3.132631725
MEG3	6.426715031	-4.353390491	-6.26325298
PPM1E	3.924489027	-4.487993043	-4.201123682
KRT18	-2.525234494	3.271492507	6.1266571
ARMH3	-1.993909188	-3.997696413	1.277773973
TM4SF4	-2.852442448	-2.924252067	-1.791167045
