GeneName	day1	day2	day3	WOexpr
LINC00261	-5.485035819	-5.493144854	-5.767517251	0
NTN4	-3.945923068	3.290895319	-5.999710893	0
AKR1B10	-4.152680449	-7.374389244	-7.567572903	0
ANXA8	-3.779532408	-5.688289384	1.941692199	0
CD24	-1.828299254	2.66228049	-5.774638164	-0.808457791
UBTF	-2.760197811	-3.406334894	-7.354321443	0
TPM1	-2.967631536	-2.749768553	-5.131494826	0.96762446
VAT1L	7.450868026	7.84812721	0.870607885	0.908361055
ULBP1	5.168519382	-2.368340728	-5.129171926	0
RRM2	-4.337196459	2.578024906	8.239932123	1.903252296
CCL2	-4.895765563	-2.373377415	-3.284479769	1.498847847
SYT11	6.501576678	-3.724976154	2.970654636	0
MAP1B	3.215128327	-5.433118642	3.113014961	0
MYLK	-2.42693464	-5.187141266	5.636362062	0
TRIM22	-5.284873789	-3.214421964	-3.276716866	0
HSPB8	-2.49767178	-3.432228852	-2.751071361	0
KANK1	-3.001562195	3.276362615	-3.565882224	0
ATP9A	-2.606712976	8.025543156	-1.652982054	0
AC013275.1	-4.234901464	4.807980937	-4.645717604	0
ACOX3	-2.204911892	-4.211427534	-3.251485744	0
BAAT	-4.303840226	-5.192422714	2.415567562	0
DAB2	-3.059867226	-6.002330694	7.736647678	-0.645405587
KIF5C	4.553052217	-2.423509375	-1.779466523	0
SLC1A4	2.501809308	-4.906238523	3.338568439	0.642306304
PSG4	-4.466755639	-5.795218294	3.412799829	0
PEG10	4.09176011	6.682871148	-5.082109744	-2.366326262
ASNS	4.28873496	1.820908852	-3.259490689	0
CXCL6	-4.064557303	-2.025014589	-1.908343516	0
PRSS23	-2.937019096	2.97896369	-4.598532682	0
LOXL4	-2.289575025	-2.905148484	-2.23105897	0
ABCC2	-2.361109969	-5.861100782	-5.932095729	0
KIF1A	7.326981137	2.916973558	-2.771123389	0
NCF2	-3.43672556	-1.586692332	-1.931121342	0
FSTL1	-3.919234737	-2.841706765	-5.613305965	0
CD109	-2.806418702	-3.076613529	-1.92547841	0
CLDN1	-1.772556567	-2.997419848	4.055650822	0
CLDN2	-4.779015962	-3.74601511	-4.521745019	1.764688181
ENO2	4.081709877	-2.672780287	-6.41223983	0
PIGH	1.983591561	4.036760234	-2.294323197	0
NCAM1	6.537663139	-3.591047245	3.468545758	0
PCNX2	2.879060611	-4.300441991	-6.317057661	0.640591927
HK2	5.554888815	-2.320055107	-1.771134625	0
NNMT	-3.029384414	-2.870875024	-1.47179618	0
ROBO1	2.998295606	7.131326647	7.271557664	0
SRXN1	1.933851327	-5.497466972	4.73442312	0
TNFRSF9	3.486717945	-2.336192074	-2.753770596	0
CAP2	-2.93354091	-1.797129728	-5.989973773	0
RAB39B	8.328337982	2.167653194	-5.761450928	0
TFDP1	-1.379460035	-4.172507079	3.471409755	0
BEST1	3.347936894	-4.507679377	7.737215517	0
PEF1	-2.525750365	-4.067561973	3.276115254	0
HK1	3.294780121	3.391063146	1.909175952	0
SORT1	2.270162332	-4.910807081	-2.683873116	0
PDIA5	-2.045922109	2.279718508	2.901414801	0.542764103
NSD1	-1.879550883	3.577896834	-3.132631725	0
MEG3	6.426715031	-4.353390491	-6.26325298	1.384720032
PPM1E	3.924489027	-4.487993043	-4.201123682	0
KRT18	-2.525234494	3.271492507	6.1266571	0
ARMH3	-1.993909188	-3.997696413	1.277773973	0
TM4SF4	-2.852442448	-2.924252067	-1.791167045	0
ALDH1B1	-2.169140541	-4.322866216	-1.093810373	0
YAP1	-1.850300629	-2.00492633	-2.50714317	0
NCOA2	-1.819033361	3.100213699	2.189083135	0
TRANK1	-1.986116932	1.503692807	-7.673415648	0
PPP1R3B	-1.396492656	5.569984541	1.184287064	-0.594790637
NRP1	-2.695618768	1.979155056	-4.453779393	0
PARVA	-2.341647823	-5.649033786	3.969765777	0
SLC5A9	-4.615644936	2.927604308	-1.249748022	0
SLC17A7	5.686082675	-1.286211383	-5.331435067	0
DUSP16	-1.7621234	-4.910677557	-3.41512326	0
BHMT2	-1.627167981	-2.3616608	-5.48105396	0.430476189
GFRA1	-1.740054852	-2.63845245	-2.25285801	0
ZXDB	-2.332305793	-3.239309268	-5.48337516	0
LPXN	-3.738765051	3.674606339	3.768434159	0
CHST11	3.565113968	8.137475611	-2.586053018	0
TGFB2	-2.309080212	-6.125942225	3.655828183	0
HPCAL4	7.149646734	-2.234293013	4.2719818	0
ACSM3	2.775819572	-1.555445956	3.823445202	0
HAGLR	7.351421597	-4.193395045	-1.854029186	0
GDE1	1.829938435	-1.88916323	-4.634487787	0
ARG2	4.053558267	-4.582623608	-2.484852685	0
ACSM5	-2.307232173	-1.962941899	-3.133578549	0
TIMP3	1.476480014	-2.570451699	-5.200096943	1.035839688
SLC25A18	-3.755436201	-4.099622952	-4.673508758	0
PLA2G4C	-1.861305122	-2.728310382	-2.685325744	0
HMGCS2	-2.39671387	3.680569337	-2.319161855	0
PSG5	-4.771980639	-2.533007022	-4.080263717	0
ENPP5	4.026165366	-3.916942318	-5.655666944	0
INHBC	-3.420652334	2.952745584	2.440177874	0
TSPAN13	3.011762842	-3.159625142	-2.998662822	0
SERPINA10	-3.088925877	6.169822236	3.092666029	0
DHRS2	3.200737757	-1.397844652	2.894602276	0
