V1	V2
FN1	GNAI3
FN1	APCS
FN1	ANXA1
TGFBI	FN1
ITIH2	FN1
ATP6V1B2	FN1
ITGAV	FN1
FLNA	FN1
AP2A2	FN1
PCNA	FN1
FN1	DBN1
FN1	ALDOA
FN1	PCMT1
FN1	AFDN
FN1	NAPA
FN1	ANXA2
FN1	STOM
FN1	QKI
FN1	PI4KA
FN1	DDX21
FN1	DDX3X
FN1	NCL
FN1	AARS
FN1	TAGLN2
FN1	ATXN10
NARS	FN1
MYL1	FN1
CCAR2	FN1
PDHB	FN1
VIM	FN1
CAPNS1	FN1
H2AFV	FN1
HNRNPAB	FN1
ECPAS	FN1
CAPN1	FN1
BAG2	FN1
MYL6	FN1
LDHB	FN1
LGALS1	FN1
PPIA	FN1
GRB2	FN1
DDX5	FN1
G6PD	FN1
FN1	AHNAK
FN1	RPL30
FN1	YARS
FN1	MYH10
FN1	CKAP5
FN1	TRIM28
FN1	ITGA5
FN1	POLR1C
FN1	HMGB1
FN1	C3
FN1	PHGDH
FN1	HRG
FN1	EEF1D
FN1	MYH9
FN1	SF3B1
FN1	ZYX
FN1	HSPB1
FN1	ALYREF
FN1	RUVBL2
EIF4G2	FN1
IGF2R	FN1
APOA1	FN1
FGB	FN1
FGG	FN1
BUB3	FN1
MRPS23	FN1
CFB	FN1
RBMX	FN1
FLNC	FN1
RPLP2	FN1
RPL36	FN1
C4BPA	FN1
NUDT21	FN1
PTBP1	FN1
HNRNPL	FN1
ANXA2	FN1
CACYBP	FN1
RBBP4	FN1
ILF3	FN1
IQGAP1	FN1
EIF4G1	FN1
TFRC	FN1
RPS5	FN1
PDCD6	FN1
MAP4	FN1
VASP	FN1
PCBP2	FN1
SNRNP70	FN1
SFPQ	FN1
RAC1	FN1
DDX6	FN1
YWHAZ	FN1
EIF3E	FN1
SEC23B	FN1
LMNA	FN1
DLD	FN1
RPL23A	FN1
SNRPA	FN1
ITGA3	FN1
HSPA8	FN1
FN1	GLUD1
FN1	MIF
FN1	MACF1
FN1	MATR3
FN1	PPIA
FN1	PGK1
FN1	LASP1
FN1	TTLL12
FN1	NDUFA2
FN1	GAPDH
FN1	GLRX3
FN1	YWHAE
FN1	HSPA5
FN1	TIAL1
FN1	TRAP1
FN1	TARS
FN1	TUFM
FN1	CLIC1
FGA	FN1
FUBP3	FN1
EEF1B2	FN1
PI4KA	FN1
GSTO1	FN1
AP2B1	FN1
DDX3X	FN1
NTPCR	FN1
PHB	FN1
CORO1B	FN1
MRPS34	FN1
HSPA9	FN1
USP15	FN1
ACLY	FN1
PRDX2	FN1
CNN2	FN1
MRTO4	FN1
YWHAQ	FN1
GSN	FN1
KRT1	FN1
LDHA	FN1
