V1	V2
TGFBI	FN1
GCHFR	MOV10
FLNC	DCTN1
CAVIN1	CAV1
PDZK1	SCARB1
NUP107	CPSF6
NUP107	RANGAP1
ACP1	EPHA2
ALG1	MOV10
DEK	HDAC2
DEK	PYM1
GM2A	L2HGDH
PEPD	MOV10
NDUFA13	NDUFS5
YME1L1	NDUFA13
L2HGDH	COQ5
OPTN	GNAS
HNRNPAB	MOV10
PYM1	MOV10
IPO4	MOV10
ITIH2	FN1
ITGA3	EPHA2
RPS15	ATP6V1D
RPS15	FUBP1
TOMM34	MOV10
SERPINH1	HDAC2
JAK1	EIF2AK2
ELOB	MYBBP1A
ATP6V1D	TOMM34
ATP6V1D	ATP6V1H
S100A11	ANXA1
KIF3B	MOV10
OXA1L	MOV10
MRPL28	OXA1L
TIMM21	MAIP1
AARS	AARS
AARS	MOV10
ATP6V1B2	ATP6V1D
ATP6V1B2	ATP6V1H
ATP6V1B2	FN1
ATP6V1B2	MOV10
ATP6V0D1	ATP6V1H
ATP6V0D1	ATP6V1D
ATP6V0D1	ATP6V1B2
IQGAP1	TPM1
DSG2	IQGAP1
CLIP1	IQGAP1
CLIP1	DCTN1
ITGAV	EPHA2
ITGAV	FN1
TPM4	TPM1
TPM4	SRXN1
CAV1	CAV1
CAV1	SQSTM1
CAV1	MOV10
GTF2I	HDAC2
TBRG4	MOV10
ARPC1B	MOV10
ANXA1	MOV10
ASNS	AARS
ASNS	GALE
HDAC2	MOV10
HDAC2	HDAC2
PML	JAK1
PML	SQSTM1
PML	HDAC2
VIM	ABLIM1
VIM	TRIM28
VIM	DCTN1
RIF1	VIM
COPS8	EIF3E
SRRT	TRIM28
SRRT	COPS8
ALAS1	MOV10
ALAS1	SNRPB2
ALAS1	ALAS1
FLNA	IQGAP1
FLNA	ABLIM1
FLNA	CAV1
FLNA	FN1
FLNA	S100A10
FLNA	TPM4
FLNA	ARPC1B
FLNA	TPM1
GNAS	OPTN
GNAS	FLNA
SNRPB2	CPSF6
MRPL12	SNRPB2
SQSTM1	SQSTM1
TRAF1	SQSTM1
AP2A2	FN1
STAT6	JAK1
STAT6	PSAT1
STAT6	TRIM28
FN1	GNAI3
FN1	APCS
FN1	ANXA1
PCNA	KRT7
PCNA	MYBBP1A
PCNA	FN1
SNRNP70	SLIRP
SNRNP70	SNRPB2
SNRNP70	HDAC2
PRPF19	MOV10
PRPF19	PRPF6
PRPF19	BUD31
PRPF19	EXOC3
PRPF19	SNRNP70
RANGAP1	ARPC1B
RANGAP1	GNAI3
ITGA6	MOV10
DCTN1	MOV10
MAPRE2	CLIP1
MAPRE2	DCTN1
NDRG1	SPAG9
NDRG1	EIF3E
G6PD	NDRG1
MOV10	SQSTM1
MOV10	AP2A2
MOV10	S100A11
S100A16	MOV10
PGM2	ABAT
CAPRIN1	STAU1
S100A6	ANXA2
PPP1R7	DDX17
PPP1R7	STAU1
COX6A1	GRB2
FGF2	VTN
FGF2	CRYAB
PLOD1	COLGALT1
ITGAV	FN1
NARS	TRMT1
NARS	FN1
NARS	AARS
BUB3	KPNB1
NUCB1	GNAS
PLIN2	ABHD5
APOB	HSPA8
APOB	TMEM41B
APOB	PLIN2
ZW10	STOM
PSME4	DDX3X
APOC2	CRYAB
APOC2	APOB
APOC2	APOE
LCP2	GRB2
LCP2	APBB1IP
PBXIP1	GRB2
CAVIN1	DBN1
CAVIN1	CAV1
OPTN	STX12
OPTN	GNAS
MPP6	OPTN
PON2	IMPAD1
TPD52	ARPC1B
GLO1	ALDOA
MYL1	IQGAP1
MYL1	FN1
ACADM	PPP2R1B
BBOX1	TXLNA
OSBPL9	CHMP4B
S100A10	ANXA2
TMEM214	KPNB1
PPP6R2	SDCBP
ACSL3	PPP6R2
DYNLT1	MAPRE2
RCN1	NCL
CLPTM1	NPC1
CLPTM1	TM9SF3
CCAR2	FN1
CCAR2	BAG2
CCAR2	IQGAP1
CCAR2	SF3B3
PARVB	ACTN1
LPCAT1	AUP1
STAT6	ANXA2
STAT6	PSAT1
STAT6	JAK1
NPC1	ACSL3
NPC1	TM9SF3
ASPDH	GNPNAT1
